Жанр фильма,"Продолжительность, часы","Продолжительность, минуты",Страна производства,Год производства
Триллер,1,17,США,2011.0
Комедия,0,25,Германия,
Драма,1,28,Германия,2009.0
Триллер,1,4,Россия,2010.0
Документальный,1,7,Россия,2000.0
Боевик,1,46,Германия,2008.0
Драма,1,56,Россия,2014.0
Драма,нет данных,26,Германия,2005.0
Драма,1,34,Италия,2005.0
Драма,0,40,Россия,2015.0
Боевик,1,39,США,1999.0
Комедия,нет данных,30,Россия,2013.0
Триллер,1,7,США,2011.0
Драма,нет данных,38,Италия,
Триллер,2,47,Россия-Италия,2016.0
Комедия,1,50,Франция,2011.0
Боевик,1,19,Италия,2013.0
Комедия,1,28,Россия,2000.0
Триллер,нет данных,32,Россия,2009.0
Триллер,3,24,Франция,2017.0
Документальный,2,51,Россия,2013.0
Драма,0,41,Италия,2013.0
Боевик,1,11,Россия,2012.0
Драма,нет данных,45,Россия,2013.0
Триллер,0,15,Франция,
Драма,2,16,Россия,
Документальный,2,9,Италия,2012.0
Драма,0,5,Италия,2013.0
Комедия,нет данных,26,Россия,2008.0
Драма,1,21,США,2007.0
Документальный,нет данных,32,Россия,2013.0
Боевик,1,21,Россия,2017.0
Драма,6,23,Франция,
Драма,1,20,США,2011.0
Триллер,0,6,Россия,2015.0
Драма,1,44,Франция,2008.0
Боевик,9,30,Германия,2015.0
Драма,1,17,Россия,2003.0
Документальный,нет данных,7,Италия,2020.0
Боевик,1,39,Италия,2008.0
Боевик,1,15,Италия,2015.0
Триллер,8,0,США,2016.0
Комедия,1,10,Россия,
Драма,нет данных,40,США,2019.0
Боевик,2,52,США,2003.0
Драма,нет данных,14,США,2012.0
Драма,1,52,США,
Драма,1,16,США,2004.0
Драма,0,49,Италия,2014.0
Боевик,1,35,США,2018.0
Драма,1,29,Франция,2007.0
Боевик,11,55,Франция,
Драма,1,12,Россия,
Документальный,1,55,США,2003.0
Комедия,нет данных,13,Россия,2005.0
Триллер,1,30,Германия,2012.0
Драма,1,32,Россия,2007.0
Триллер,1,42,Италия,2006.0
Документальный,1,49,США,2010.0
Драма,1,14,Россия,2009.0
Боевик,нет данных,38,США,2011.0
Боевик,1,110,Италия,2017.0
Боевик,0,8,Россия,
Триллер,1,50,Германия-Франция,2016.0
Драма,1,38,Россия,2015.0
Драма,1,18,Россия,2006.0
Триллер,1,11,Германия,2014.0
Комедия,2,43,США,2017.0
Драма,1,30,Россия,2006.0
Драма,0,20,США,2008.0
Драма,2,25,США,2009.0
Комедия,2,100,Россия,2015.0
Триллер,2,15,Россия,2014.0
Боевик,1,31,Франция,2010.0
Драма,1,35,Франция,2021.0
Комедия,1,48,Германия,2007.0
Триллер,1,40,США,2017.0
Комедия,1,37,Россия,2010.0
Драма,1,45,Франция,2011.0
Триллер,нет данных,36,Россия,2011.0
Драма,1,40,Италия,2016.0
Драма,1,46,США,2008.0
Боевик,1,0,США,2008.0
Боевик,1,30,Италия,2010.0
Документальный,нет данных,46,Россия,2010.0
Драма,1,25,Россия,2007.0
Боевик,1,45,Россия,2013.0
Триллер,1,5,США,2014.0
Боевик,1,9,Россия,2006.0
Драма,нет данных,0,США,2005.0
Боевик,нет данных,55,Германия,1998.0
Боевик,12,56,Италия,2013.0
Комедия,1,17,Россия,
Драма,1,40,Россия,2002.0
Боевик,1,39,Россия,2008.0
Драма,1,52,США,2006.0
Боевик,нет данных,10,Россия,2008.0
Боевик,нет данных,7,США,2009.0
Документальный,2,42,Россия,
Боевик,1,10,Германия,2012.0
Драма,1,80,США,
Комедия,2,15,Франция,2011.0
Комедия,2,3,Германия,2010.0
Драма,нет данных,9,Россия,2001.0
Драма,3,12,Россия,2013.0
Боевик,1,26,Франция,2000.0
Драма,1,39,Россия-Италия,2007.0
Драма,1,30,Франция,2009.0
Комедия,1,45,США,2007.0
Драма,1,69,США,2007.0
Драма,1,12,Франция-Италия,2011.0
Боевик,0,41,США,2005.0
Драма,1,31,Россия-Германия,2009.0
Триллер,10,37,Германия-Франция,2001.0
Документальный,2,51,США,2015.0
Драма,1,22,США,2001.0
Драма,2,52,Россия,2012.0
Драма,1,24,Россия,2011.0
Триллер,1,51,США,2002.0
Триллер,1,35,Франция,2006.0
Боевик,0,52,Россия,2011.0
Драма,1,9,Россия-Италия,2008.0
Документальный,1,5,Россия,
Боевик,1,20,США,2009.0
Драма,7,49,Россия-Франция,2009.0
Драма,1,27,США,2001.0
Драма,2,20,Россия,2012.0
Боевик,1,56,Россия-Франция,2012.0
Боевик,2,7,США,2015.0
Драма,1,55,США,2016.0
Триллер,11,42,США,2009.0
Комедия,1,30,Россия,2002.0
Триллер,нет данных,6,США,2013.0
Драма,1,28,Франция,2001.0
Триллер,нет данных,1,Германия,2007.0
Триллер,0,28,США,2003.0
Триллер,2,50,Россия,2008.0
Драма,1,35,Россия-Франция,2014.0
Драма,0,47,Россия,
Триллер,1,54,Германия,2008.0
Комедия,2,33,США,2010.0
Комедия,1,20,США,2008.0
Драма,3,10,США,2005.0
Боевик,нет данных,56,США-Германия,2007.0
Боевик,1,30,США,2004.0
Комедия,1,0,Россия,2013.0
Документальный,3,16,Россия,2007.0
Триллер,1,23,Россия,2014.0
Триллер,нет данных,2,Италия,2008.0
Боевик,0,21,США,2011.0
Драма,1,30,Италия,2014.0
Боевик,1,25,Германия,2006.0
Боевик,1,48,Россия,1997.0
Драма,1,53,Россия,1996.0
Драма,2,41,Россия,2003.0
Триллер,1,0,Россия,2004.0
Документальный,1,26,США,2010.0
Драма,3,0,Россия,
Боевик,2,7,Россия,2005.0
Триллер,нет данных,12,США,2006.0
Триллер,нет данных,18,США,2006.0
Боевик,10,53,Франция-Италия,2011.0
Документальный,нет данных,35,Франция,2011.0
Боевик,1,14,Россия,2011.0
Драма,2,40,США,2007.0
Комедия,2,39,США,
Документальный,1,41,Франция,2014.0
Триллер,1,0,Россия,2017.0
Комедия,1,25,США-Германия,2011.0
Документальный,1,54,Россия-Италия,2005.0
Драма,нет данных,14,США,2006.0
Боевик,1,21,Италия,2014.0
Триллер,1,17,США,2002.0
Драма,1,33,Россия,2010.0
Боевик,1,6,Германия,2005.0
Драма,0,37,США,2004.0
Документальный,1,54,Германия,
Комедия,1,10,Россия,2008.0
Комедия,1,28,Россия,1999.0
Драма,1,21,Россия-Германия,2009.0
Драма,1,41,Франция,2020.0
Боевик,нет данных,12,Франция,2017.0
Документальный,1,55,США,2013.0
Драма,1,33,США,2005.0
Боевик,8,42,Франция,2006.0
Комедия,1,30,Германия,2013.0
Драма,1,48,Россия,2013.0
Триллер,нет данных,15,США,2014.0
Триллер,3,24,США,2007.0
Комедия,1,26,Россия-Италия,2012.0
Триллер,нет данных,46,Италия,2019.0
Драма,1,53,Россия,2007.0
Драма,нет данных,52,Россия-Италия,2008.0
Драма,1,20,Франция,2015.0
Документальный,1,25,Россия,2015.0
Драма,0,6,Германия,
Драма,1,32,Германия,2012.0
Триллер,1,20,Россия,2012.0
Триллер,2,18,Россия,2006.0
Триллер,1,21,Италия,2012.0
Комедия,1,19,Германия,2016.0
Боевик,нет данных,19,Россия,
Драма,1,20,США,2003.0
Боевик,1,30,Германия,2001.0
Драма,нет данных,44,Франция,2008.0
Драма,нет данных,5,Франция,2002.0
Драма,1,51,США,2010.0
Документальный,нет данных,14,США,2003.0
Документальный,1,50,Италия,
Боевик,2,32,Россия,2005.0
Боевик,0,166,Германия,
Триллер,1,55,Франция,
Триллер,нет данных,28,Франция,2009.0
Драма,нет данных,46,США,
Комедия,1,26,США,2017.0
Триллер,нет данных,28,США,
Драма,1,25,США,2015.0
Драма,1,34,Германия,2006.0
Драма,1,28,Франция,
Комедия,1,26,Италия,
Документальный,2,45,США,2011.0
Боевик,2,59,Россия,2008.0
Драма,нет данных,32,Россия,2007.0
Драма,1,0,Россия,2008.0
Боевик,1,26,Франция,2007.0
Боевик,1,39,США,2010.0
Триллер,1,20,Италия,2008.0
Драма,1,14,Россия,
Боевик,6,20,Россия,2007.0
Комедия,7,12,Франция,2013.0
Драма,3,21,США,2010.0
Триллер,1,30,США,2001.0
Комедия,1,20,Россия,2009.0
Документальный,4,40,Германия,2009.0
Триллер,1,37,Россия,2006.0
Боевик,1,59,Италия,2018.0
Драма,0,45,США,2012.0
Драма,1,34,Германия,2014.0
Боевик,2,24,Россия,2009.0
Боевик,1,34,США,2012.0
Комедия,нет данных,7,Германия,2012.0
Комедия,1,28,Италия,2014.0
Драма,1,45,США,2018.0
Драма,2,3,Франция,
Боевик,нет данных,23,Россия,2005.0
Боевик,0,12,США,2013.0
Драма,1,0,Россия,2014.0
Триллер,1,44,США,
Триллер,2,28,Италия,2005.0
Документальный,1,24,Россия,2010.0
Триллер,нет данных,13,Германия,2012.0
Боевик,нет данных,26,США,2011.0
Боевик,1,44,Россия-Франция,2011.0
Драма,1,34,США,2011.0
Боевик,1,52,Франция,2012.0
Документальный,нет данных,24,США,2012.0
Документальный,нет данных,24,Россия,2012.0
Триллер,1,40,Италия,2015.0
Драма,1,45,Россия,2010.0
Боевик,1,42,Франция,2011.0
Боевик,1,24,Германия-Франция,2007.0
Драма,1,52,Россия,2012.0
Боевик,0,40,Россия,
Триллер,1,24,Россия,2005.0
Документальный,2,26,Франция,2005.0
Триллер,1,32,США-Германия,2016.0
Триллер,нет данных,41,Россия,2011.0
Боевик,1,53,Франция,2017.0
Драма,1,48,Россия,2013.0
Комедия,0,0,Россия,2005.0
Драма,нет данных,30,Франция-Италия,2008.0
Боевик,0,50,Россия,2012.0
Боевик,1,43,Россия,
Комедия,нет данных,47,Германия-Франция,2012.0
Документальный,1,30,Россия,2013.0
Боевик,нет данных,78,США,2000.0
Драма,0,35,Италия,2008.0
Драма,0,52,Россия,2017.0
Драма,1,67,Россия,2008.0
Драма,8,44,Россия,
Драма,0,31,Россия,
Боевик,1,21,Италия,
Комедия,1,6,Россия,1999.0
Боевик,2,55,США,2014.0
Документальный,17,25,Россия-Франция,2009.0
Боевик,1,0,Германия,
Комедия,1,51,Германия,2009.0
Триллер,1,30,Россия,2013.0
Драма,1,52,США,2016.0
Боевик,1,20,Италия,2018.0
Боевик,3,33,США,2004.0
Триллер,1,15,Россия-Франция,2007.0
Комедия,2,29,Россия,2013.0
Комедия,нет данных,55,США,2000.0
Драма,1,24,Россия,2013.0
Комедия,1,28,Россия,2007.0
Триллер,1,38,Германия,2014.0
Триллер,1,24,Франция,2009.0
Драма,1,22,США,2009.0
Драма,2,11,США,2011.0
Документальный,1,25,США,2008.0
Боевик,нет данных,54,Россия,1997.0
Драма,нет данных,2,Италия,2008.0
Комедия,1,13,Россия,2003.0
Драма,0,45,Россия,2005.0
Драма,0,46,Россия,
Триллер,нет данных,19,Франция-Италия,2004.0
Триллер,1,18,Россия,2007.0
Драма,15,10,Россия,2001.0
Документальный,1,15,Россия,2005.0
Триллер,1,53,Германия,2007.0
Драма,1,26,Германия-Франция,2009.0
Боевик,нет данных,37,США,1998.0
Боевик,2,1,США,2008.0
Боевик,0,57,Россия,2028.0
Триллер,1,10,Россия,2004.0
Комедия,0,25,США,2012.0
Драма,1,35,Германия,2013.0
Драма,1,45,Италия,2009.0
Драма,1,16,Россия,
Боевик,1,41,США,2010.0
Драма,0,42,Германия-Франция,2008.0
Триллер,1,16,Германия,2003.0
Драма,1,13,Россия,2002.0
Боевик,нет данных,34,Франция,2003.0
Драма,6,31,Франция,2012.0
Комедия,нет данных,17,Россия,2006.0
Драма,1,26,Германия,2007.0
Драма,2,27,США,2007.0
Боевик,1,27,Россия,2004.0
Документальный,нет данных,41,Германия,2011.0
Триллер,2,38,Франция-Италия,2009.0
Документальный,6,30,Россия,2016.0
Драма,1,52,Россия,2014.0
Драма,нет данных,26,США,2007.0
Боевик,19,30,США,2009.0
Триллер,1,0,Россия,2008.0
Триллер,1,33,США,2011.0
Драма,2,40,Германия,
Комедия,нет данных,52,Франция-Италия,2013.0
Комедия,1,1,США,2010.0
Боевик,1,52,США,2015.0
Комедия,нет данных,30,США,2007.0
Документальный,нет данных,32,Германия,2008.0
Боевик,3,11,США,
Боевик,нет данных,16,Россия,2009.0
Драма,1,1,США,2003.0
Боевик,1,43,Россия,
Боевик,0,45,Франция,2011.0
Комедия,0,46,Россия,2014.0
Боевик,1,26,Италия,
Триллер,0,26,Германия-Франция,2005.0
Комедия,13,0,Франция,
Документальный,0,39,Россия,2011.0
Драма,9,47,Россия,2010.0
Драма,0,73,Россия,
Триллер,1,39,Германия,2017.0
Драма,1,40,США,
Драма,1,56,США,2006.0
Триллер,нет данных,30,США,2015.0
Драма,1,0,Россия,2006.0
Триллер,0,12,Россия,2014.0
Боевик,1,52,Франция-Италия,2019.0
Боевик,2,26,США,2012.0
Триллер,1,54,США,2003.0
Боевик,1,50,Россия-Италия,2015.0
Боевик,1,50,США,2005.0
Боевик,1,48,Италия,2018.0
Комедия,нет данных,55,США,2000.0
Драма,нет данных,31,Россия,2011.0
Боевик,1,58,Германия-Франция,2013.0
Драма,1,25,Россия,2002.0
Боевик,1,10,Франция,2006.0
Боевик,1,44,США,2007.0
Документальный,2,30,Россия,1999.0
Боевик,1,55,Франция,2016.0
Боевик,1,52,США,2011.0
Комедия,0,43,Германия,
Триллер,6,39,Россия,2016.0
Документальный,2,10,Россия,2004.0
Драма,4,47,Россия,2004.0
Триллер,нет данных,0,Россия,1999.0
Драма,1,116,Германия-Франция,2007.0
Драма,0,30,Россия,2012.0
Комедия,0,45,США,2002.0
Документальный,15,34,Россия,2014.0
Боевик,1,13,Италия,2003.0
Боевик,нет данных,40,США,2008.0
Драма,1,16,Италия,2013.0
Триллер,1,52,Россия-Германия,2009.0
Драма,1,26,Италия,2014.0
Драма,нет данных,38,Россия,2014.0
Триллер,1,50,США,2008.0
Боевик,1,48,Россия,2014.0
Боевик,нет данных,57,Италия,2000.0
Драма,1,48,Россия-Франция,2002.0
Драма,12,12,Россия,2014.0
Комедия,1,0,США,2005.0
Боевик,1,30,США,2010.0
Боевик,1,21,Россия-Италия,2010.0
Боевик,1,24,Россия,2008.0
Боевик,13,34,Италия,2005.0
Боевик,1,27,Германия,2002.0
Боевик,0,3,Россия,2006.0
Триллер,1,52,США,2011.0
Драма,0,0,Россия,2011.0
Триллер,1,25,Италия,2012.0
Документальный,2,0,Франция,2017.0
Боевик,нет данных,58,Россия,2002.0
Боевик,2,35,Италия,2013.0
Боевик,1,29,Россия,2007.0
Триллер,нет данных,9,Италия,2005.0
Документальный,1,40,Россия,
Боевик,1,15,Германия-Франция,2010.0
Комедия,нет данных,13,Россия,2009.0
Триллер,1,13,США,2012.0
Драма,0,45,Россия,2007.0
Документальный,нет данных,40,Россия,2011.0
Боевик,1,10,Россия,2001.0
Драма,1,44,Россия,2009.0
Триллер,нет данных,46,Россия-Италия,2001.0
Комедия,1,11,США,2013.0
Триллер,0,12,Франция,2015.0
Боевик,0,13,Россия-Франция,2016.0
Комедия,1,26,США,2003.0
Документальный,1,20,Россия,2006.0
Триллер,0,15,Россия,2010.0
Боевик,18,27,Россия,2017.0
Драма,1,13,США,
Триллер,1,55,Россия,2009.0
Боевик,нет данных,42,Россия,2003.0
Драма,нет данных,2,Франция,2011.0
Боевик,28,14,Россия,2001.0
Боевик,1,44,Россия,2009.0
Драма,1,37,Россия,1998.0
Драма,1,31,США,2007.0
Драма,5,13,Германия,2003.0
Драма,1,30,Россия,2014.0
Боевик,1,20,Россия,
Боевик,1,30,Германия-Франция,2010.0
Драма,1,40,Россия,1999.0
Триллер,нет данных,47,Франция,
Драма,2,12,Германия,2012.0
Боевик,1,6,США,2008.0
Триллер,1,57,Италия,2008.0
Драма,нет данных,50,Франция,2016.0
Триллер,0,20,Франция,2009.0
Документальный,0,26,Франция,2005.0
Триллер,1,23,Россия,2006.0
Триллер,нет данных,56,Италия,2014.0
Триллер,1,45,Германия,2013.0
Драма,2,20,США,2006.0
Боевик,нет данных,10,Франция,2007.0
Триллер,1,0,США,2011.0
Триллер,0,59,Италия,2009.0
Документальный,0,40,Россия,2014.0
Триллер,2,40,Германия-Франция,2011.0
Драма,1,0,Франция,2005.0
Триллер,0,48,Франция,2004.0
Боевик,3,52,Италия,1999.0
Драма,нет данных,0,Франция,2012.0
Комедия,3,185,Россия,2008.0
Драма,0,7,Россия-Италия,
Боевик,1,15,Италия,2016.0
Документальный,нет данных,20,Россия,2010.0
Боевик,0,16,Франция,2019.0
Документальный,1,10,Россия,2020.0
Драма,1,20,США,2015.0
Драма,6,36,Россия,2011.0
Триллер,нет данных,23,США,2016.0
Драма,0,40,Франция,2001.0
Боевик,1,48,Германия-Франция,2017.0
Боевик,4,0,США,2016.0
Боевик,1,80,Германия,2013.0
Драма,1,49,Россия-Франция,
Драма,1,36,США,2003.0
Документальный,2,19,Россия,2003.0
Драма,1,19,Россия,2018.0
Драма,0,48,Россия,
Драма,нет данных,0,Россия-Германия,2010.0
Драма,1,52,Россия-Франция,2010.0
Триллер,1,57,Россия,2016.0
Документальный,1,50,США,1997.0
Драма,0,5,Россия,2012.0
Комедия,1,11,США,2010.0
Триллер,1,8,Россия-Франция,2012.0
Драма,2,25,Франция,2013.0
Боевик,2,27,Россия-Германия,2011.0
Драма,1,26,Россия-Германия,1999.0
Боевик,0,25,Россия-Франция,2018.0
Драма,1,5,США,2007.0
Драма,1,58,Россия,
Боевик,1,35,Франция,2012.0
Драма,3,39,США,2016.0
Драма,1,29,Германия,
Драма,нет данных,38,Россия,2009.0
Драма,9,13,США,
Триллер,2,16,Германия,
Триллер,10,56,Германия-Франция,
Комедия,0,38,Германия-Франция,2008.0
Триллер,нет данных,48,Россия,2008.0
Боевик,1,30,Франция,2003.0
Боевик,1,10,Россия,2010.0
Документальный,1,31,Россия,2006.0
Триллер,1,22,Россия-Германия,2011.0
Боевик,1,14,Франция-Италия,2010.0
Триллер,3,8,Франция-Италия,2004.0
Драма,7,19,США,2008.0
Триллер,1,39,Италия,2009.0
Драма,2,31,Россия,2010.0
Боевик,нет данных,35,Россия-Италия,2014.0
Боевик,2,34,Россия,2006.0
Драма,1,27,Россия,2012.0
Документальный,1,42,Франция-Италия,2008.0
Боевик,1,9,Россия,2009.0
Драма,1,34,Россия,2004.0
Комедия,1,6,США,2013.0
Драма,1,0,США,2015.0
Триллер,0,39,Россия-Германия,2016.0
Боевик,2,8,Германия,
Боевик,нет данных,20,Франция,2013.0
Триллер,нет данных,28,США,2010.0
Боевик,3,33,Россия,2005.0
Документальный,0,44,США,2020.0
Триллер,нет данных,52,Россия,2008.0
Боевик,1,15,Россия,2005.0
Документальный,1,31,Германия,
Драма,1,45,Россия,2005.0
Комедия,нет данных,0,Россия,2002.0
Драма,нет данных,57,Россия,2014.0
Триллер,1,36,Франция,2006.0
Боевик,0,6,Россия,2009.0
Драма,2,170,Италия,2013.0
Документальный,3,25,Франция,2009.0
Триллер,1,44,Германия,2014.0
Комедия,1,20,Германия,2013.0
Триллер,1,38,Россия,2011.0
Драма,1,8,Россия,2002.0
Боевик,1,38,Россия-Италия,1999.0
Триллер,1,4,США,2002.0
Боевик,1,44,Россия,2008.0
Драма,1,57,Франция,2012.0
Триллер,3,30,Франция,2012.0
Драма,1,35,Россия,2012.0
Триллер,2,25,США,2007.0
Боевик,0,47,США,2006.0
Комедия,1,39,США,2004.0
Комедия,1,26,США,2011.0
Триллер,3,0,Россия,2008.0
Боевик,1,60,Германия,2000.0
Боевик,нет данных,50,Россия,2018.0
Драма,нет данных,44,Франция,2012.0
Комедия,нет данных,0,Россия,2007.0
Драма,1,14,Франция,2002.0
Триллер,1,40,Россия,2014.0
Документальный,1,36,Россия,2001.0
Комедия,3,8,Германия,2007.0
Триллер,нет данных,30,Франция-Италия,2011.0
Боевик,0,16,Россия,2011.0
Драма,0,41,Россия,
Боевик,0,38,Россия,2015.0
Драма,1,22,Франция,
Комедия,нет данных,30,Россия,2011.0
Драма,1,38,Италия,2013.0
Документальный,2,38,Франция,2008.0
Драма,1,87,Россия-Италия,2017.0
Боевик,1,36,Россия,2018.0
Триллер,1,21,Россия,2000.0
Документальный,3,30,Франция,2005.0
Триллер,4,51,США,2005.0
Боевик,нет данных,64,Италия,2016.0
Драма,4,50,США,2006.0
Боевик,нет данных,21,Россия,2013.0
Драма,2,38,Россия,2007.0
Триллер,нет данных,29,Россия,2014.0
Драма,1,8,Италия,2013.0
Документальный,нет данных,34,США-Германия,2009.0
Боевик,1,40,Россия,2007.0
Драма,3,6,Италия,2014.0
Драма,1,1,США,2000.0
Триллер,2,39,Италия,2015.0
Триллер,1,29,США,2005.0
Триллер,23,2,Россия,2013.0
Драма,2,52,Франция-Италия,2010.0
Боевик,нет данных,41,США,2015.0
Комедия,0,32,Франция,2014.0
Боевик,1,0,Франция-Италия,2020.0
Документальный,1,34,США,
Драма,нет данных,33,Россия,2014.0
Боевик,1,14,США,2004.0
Документальный,нет данных,44,Германия,2010.0
Документальный,1,40,США,2005.0
Боевик,15,39,Россия,
Драма,2,50,Франция,2002.0
Комедия,2,37,США,2008.0
Комедия,1,26,Россия,2009.0
Драма,нет данных,34,Германия,2004.0
Боевик,1,31,Италия,2014.0
Документальный,1,36,Россия,2005.0
Драма,1,0,Россия,2004.0
Драма,1,50,Россия-Франция,2001.0
Документальный,2,15,США,2008.0
Триллер,нет данных,52,Россия-Германия,2009.0
Комедия,1,55,Россия,2011.0
Триллер,0,4,Россия,2007.0
Драма,1,52,Россия,2023.0
Драма,3,49,США,2008.0
Триллер,нет данных,45,США,
Комедия,нет данных,28,США,
Драма,0,37,Франция-Италия,2018.0
Драма,1,31,Россия-Германия,2010.0
Боевик,нет данных,52,Россия,2016.0
Драма,нет данных,45,США,2013.0
Триллер,1,0,США,2015.0
Драма,6,49,США,2002.0
Драма,1,30,Россия,2003.0
Боевик,1,15,Франция,
Драма,1,44,Россия,2014.0
Драма,1,12,Франция,
Триллер,1,10,Россия,2010.0
Триллер,2,13,Италия,2015.0
Боевик,1,39,Россия,
Драма,1,15,США,2007.0
Боевик,нет данных,54,США,2013.0
Боевик,1,6,Франция-Италия,1999.0
Боевик,2,0,Россия,
Драма,нет данных,4,США,2014.0
Боевик,1,11,Россия-Франция,2008.0
Комедия,0,37,Россия,
Триллер,1,34,Россия,
Боевик,2,30,Италия,2007.0
Триллер,13,33,Россия,2010.0
Боевик,1,27,США,2010.0
Боевик,1,41,Германия-Франция,1998.0
Боевик,1,38,США,
Триллер,1,53,Франция,2001.0
Драма,1,11,Россия,2009.0
Драма,1,34,Франция,2008.0
Триллер,2,31,Италия,2010.0
Триллер,2,0,Россия-Италия,2004.0
Драма,1,10,Россия,2002.0
Триллер,1,25,Россия,2009.0
Триллер,нет данных,6,США,2006.0
Боевик,1,8,Италия,2014.0
Драма,1,54,Франция-Италия,
Драма,0,41,США,2011.0
Документальный,1,0,Россия,2004.0
Боевик,10,40,США,2013.0
Триллер,2,2,США,2005.0
Драма,2,32,Россия,2011.0
Триллер,1,31,Франция,2016.0
Боевик,3,43,Германия,2020.0
Боевик,1,15,Франция-Италия,2026.0
Драма,1,30,Россия,1997.0
Боевик,1,49,Италия,
Драма,1,50,США,2011.0
Триллер,нет данных,43,Германия,2003.0
Боевик,1,28,Германия,2016.0
Драма,1,40,Россия-Франция,2011.0
Драма,1,8,Россия,1999.0
Боевик,нет данных,12,Россия-Франция,2017.0
Драма,5,40,Россия,2004.0
Драма,1,10,США,2014.0
Драма,10,36,Россия,2016.0
Драма,1,27,Италия,2018.0
Документальный,1,19,Россия,2007.0
Драма,нет данных,26,США,2006.0
Боевик,2,58,Россия,1997.0
Триллер,1,1,Германия,2008.0
Драма,1,44,Россия,2007.0
Драма,13,43,Россия,2006.0
Боевик,2,15,Россия,2001.0
Триллер,нет данных,57,Россия,2010.0
Комедия,1,30,США,1997.0
Триллер,1,0,Россия,2005.0
Триллер,нет данных,28,США,1998.0
Драма,0,31,Россия,2012.0
Драма,3,6,США,2006.0
Боевик,2,51,США,2011.0
Документальный,нет данных,37,Россия,2017.0
Триллер,1,2,Франция,2014.0
Драма,1,58,Россия,2008.0
Триллер,1,40,Россия,2013.0
Боевик,2,13,Россия,2007.0
Драма,1,45,США,
Документальный,1,45,Россия,
Драма,1,54,Россия,2007.0
Документальный,1,18,США,2011.0
Триллер,2,30,Италия,2014.0
Драма,1,37,Россия,1999.0
Боевик,1,54,Франция,2007.0
Триллер,1,13,США,2006.0
Триллер,1,40,Россия,2001.0
Комедия,1,17,США,
Драма,6,50,Россия,2009.0
Драма,нет данных,32,Италия,2004.0
Триллер,2,56,США,2017.0
Драма,1,42,Франция,2018.0
Документальный,1,40,Германия,2007.0
Триллер,1,47,Россия-Италия,2016.0
Документальный,7,9,Франция,2007.0
Драма,1,39,Франция,2005.0
Документальный,1,32,США,2009.0
Боевик,1,40,Германия,2005.0
Комедия,1,21,США,2008.0
Боевик,1,38,Италия,
Комедия,3,25,Россия,2005.0
Документальный,1,29,Россия,2009.0
Драма,1,29,Россия,2002.0
Драма,2,28,США,2007.0
Триллер,1,53,США,2001.0
Документальный,1,2,Россия,2005.0
Триллер,1,58,Италия,2002.0
Боевик,1,36,США,2006.0
Комедия,0,43,Россия,2008.0
Драма,1,26,Россия,2008.0
Драма,1,50,Италия,2018.0
Комедия,нет данных,32,Россия,2016.0
Боевик,1,13,Франция,2011.0
Боевик,2,27,США,
Боевик,4,14,США,2010.0
Комедия,1,0,Германия,2011.0
Комедия,1,48,США,2007.0
Триллер,1,28,Россия,2016.0
Боевик,0,53,Россия,2007.0
Боевик,1,0,Германия,2011.0
Триллер,1,30,Италия,
Документальный,1,39,Италия,2008.0
Боевик,1,43,Россия-Франция,2003.0
Боевик,2,0,Россия,2012.0
Комедия,1,50,Россия,2011.0
Триллер,1,45,США,2000.0
Драма,1,40,Россия,
Драма,4,44,США,2018.0
Боевик,нет данных,54,Россия,2016.0
Триллер,1,7,США,2009.0
Триллер,1,20,США,2013.0
Драма,0,54,Франция,2010.0
Драма,1,44,Россия,2026.0
Боевик,1,76,США,2017.0
Драма,1,39,Россия,2017.0
Драма,1,18,Россия,2009.0
Боевик,1,51,США,2004.0
Комедия,1,10,США,2009.0
Боевик,2,18,Италия,2012.0
Триллер,1,30,Россия,2009.0
Триллер,1,6,Франция,
Триллер,18,56,Россия,2009.0
Боевик,1,26,Россия,2014.0
Комедия,1,53,Россия,2004.0
Боевик,0,17,Франция,2010.0
Драма,2,0,США,2010.0
Триллер,1,52,США,2012.0
Драма,1,57,Германия,2018.0
Триллер,2,38,Россия-Италия,2003.0
Боевик,1,58,США,2001.0
Драма,1,38,США,
Драма,1,30,Италия,2011.0
Боевик,нет данных,40,Россия,2013.0
Документальный,1,15,Россия,2007.0
Драма,2,0,США,2007.0
Триллер,1,17,Россия-Италия,2009.0
Боевик,1,13,Германия,2019.0
Боевик,нет данных,22,Италия,2003.0
Драма,1,27,США-Германия,2005.0
Боевик,1,28,Италия,2012.0
Боевик,1,35,Россия-Франция,2008.0
Документальный,0,12,Россия,2011.0
Документальный,0,30,США,2002.0
Триллер,1,22,Россия,2005.0
Боевик,0,35,Германия,2004.0
Драма,7,30,Россия,2008.0
Драма,3,32,Россия,2013.0
Боевик,нет данных,68,США,2006.0
Триллер,1,7,Россия,2001.0
Драма,0,21,Россия,2010.0
Драма,1,30,Россия,2005.0
Драма,3,43,Россия-Италия,2017.0
Драма,1,52,США,2007.0
Комедия,1,0,Россия,2007.0
Боевик,1,25,Россия,2006.0
Триллер,0,30,Россия,2011.0
Драма,0,40,США,2004.0
Драма,0,58,США,2007.0
Триллер,1,54,Россия,2006.0
Драма,нет данных,24,Франция,2007.0
Триллер,нет данных,36,США,2008.0
Комедия,1,18,Россия,2004.0
Драма,0,49,Германия,2012.0
Триллер,1,4,Россия,2004.0
Боевик,1,45,Россия,2022.0
